Date,Temp_max(c),Temp_avg(c),Temp_min(c),Dew_max(c),Dew_avg(c),Dew_min(c),Hum_max(%),Hum_avg(%),Hum_min(%),Wind_max(mph),Wind_avg(mph),Wind_min(mph),Pres_max(in),Pres_avg(in),Pres_min(in),Precipitation
13/06/2001,32.8,28.6,25,25,24.3,22.8,94,79.1,62,9,3.8,0,29.8,29.7,29.6,0
14/06/2001,33.9,28.5,26.1,25,24.1,22.2,94,78.6,55,9,3.2,0,29.8,29.7,29.6,0
15/06/2001,32.2,27.3,23.9,25,23.2,20,94,79.9,59,12,4.7,1,29.8,29.7,29.6,0
16/06/2001,31.1,27.9,25,25,23.9,22.2,100,80.3,58,12,4,0,29.8,29.7,29.7,0
17/06/2001,33.9,28.8,25,25,23.6,22.2,94,75.8,52,9,3.3,0,29.8,29.7,29.6,0
18/06/2001,31.1,27.2,23.9,23.9,23.4,22.8,94,81.2,62,10,2.8,0,29.8,29.7,29.7,0
19/06/2001,32.8,28.4,25,25,23.8,22.8,94,77.8,55,7,2.7,0,29.8,29.7,29.6,0
20/06/2001,32.2,26.2,-17.8,25,21.9,-17.8,89,75.2,0,7,3.1,0,29.8,29.7,29.6,0
21/06/2001,32.8,28.8,25,25,24.1,22.8,94,77.4,59,9,3,0,29.7,29.7,29.6,0
22/06/2001,32.2,28.3,25,23.9,23.1,21.1,89,74.8,52,12,3.9,0,29.7,29.7,29.6,0
23/06/2001,32.8,28.6,25,23.9,22.5,21.1,83,70.1,49,8,4.1,0,29.7,29.7,29.6,0
24/06/2001,32.2,29,25,25,23.7,22.8,89,74.3,59,13,4.9,0,29.7,29.7,29.6,0
25/06/2001,32.8,28.7,22.8,25,22.9,20,89,72.5,55,26,5.8,0,29.8,28.4,0,0
26/06/2001,32.2,27,22.8,23.9,22.7,22.2,94,78,55,13,5,0,29.8,29.7,29.6,0
27/06/2001,35,29.3,25,23.9,22.7,20,94,70,44,12,3.4,0,29.7,29.7,29.6,0
28/06/2001,33.9,29.6,26.1,23.9,22.5,20,89,67.8,44,10,4.3,0,29.8,28.5,0,0
29/06/2001,32.2,26.5,-17.8,25,21.4,-17.8,94,71,0,13,4.8,0,29.8,29.7,29.7,0
30/06/2001,33.9,29.2,25,23.9,22.2,21.1,89,67.5,46,9,3.7,0,29.8,29.7,29.7,0
1/07/2001,32.2,28.2,25,25,23.4,22.2,89,77.2,59,7,2.4,0,29.8,28.4,0,0
2/07/2001,32.2,28.2,25,25,24.1,22.8,94,79.7,59,12,4.1,0,29.8,29.7,29.6,0
3/07/2001,32.8,28.6,23.9,26.1,22.6,18.9,94,72.5,43,13,4.3,0,29.7,29.7,29.6,0
4/07/2001,33.9,26.5,-17.8,22.8,20.4,-17.8,89,66.9,0,13,4.6,0,29.7,29.6,29.6,0
5/07/2001,33.9,28.3,23.9,22.8,21.5,17.2,94,68.7,36,12,3.6,0,29.7,28.4,0,0
6/07/2001,32.8,28.1,22.8,25,22.4,20,94,72.1,46,14,4.9,0,29.7,29.7,29.6,0
7/07/2001,32.2,28.4,25,23.9,22.5,21.1,94,71.7,52,12,5,0,29.7,29.7,29.6,0
8/07/2001,33.9,28.9,23.9,23.9,21.7,18.9,89,66.9,41,13,4.8,0,29.8,29.7,29.6,0
9/07/2001,33.9,29.4,25,23.9,22.4,22.2,89,66.6,49,10,4.7,0,29.7,29.7,29.6,0
10/07/2001,32.8,27.1,-17.8,26.1,21.9,-17.8,89,71.2,0,13,4.2,0,29.8,28.5,0,0
11/07/2001,32.8,28.7,25,25,23.4,21.1,94,74.9,52,10,4.3,0,29.8,29.7,29.6,0
12/07/2001,33.9,28.4,23.9,25,23.3,22.2,94,75.4,55,13,3.5,0,29.8,29.7,29.6,0
13/07/2001,35,29.9,25,26.1,24.3,22.2,94,73.8,47,10,3.9,0,29.7,29.7,29.6,0
14/07/2001,32.2,28.2,25,25,23.9,22.8,94,78.7,62,14,4.5,0,29.8,29.7,29.6,0
15/07/2001,32.2,27.7,23.9,23.9,22.5,20,89,75,52,16,5,0,29.8,28.4,0,0
16/07/2001,33.9,29,25,23.9,22.4,20,89,69.4,49,15,7.3,0,29.8,29.7,29.6,0
17/07/2001,32.8,28.7,26.1,26.1,24.2,22.2,94,78.5,52,8,3.9,0,29.8,29.7,29.7,0
18/07/2001,32.8,28.1,23.9,25,23.4,21.1,100,78.2,49,10,4,0,29.8,29.7,29.6,0
19/07/2001,32.2,27.8,25,26.1,23.7,22.8,94,80.4,59,12,3.5,0,29.7,29.7,29.6,0
20/07/2001,31.1,26.9,25,25,24.1,22.8,94,85,62,10,3.5,0,29.7,29.7,29.6,0
21/07/2001,32.2,27.8,25,25,23.8,22.8,94,80.6,59,10,2.8,0,29.7,29.6,29.6,0
22/07/2001,32.8,27.8,25,23.9,23.4,22.2,94,79.1,55,14,3.3,0,29.7,29.7,29.6,0
23/07/2001,33.9,27.4,25,25,23.7,22.2,94,82.7,49,15,3.2,0,29.7,29.7,29.6,0
24/07/2001,30,27,25,25,24.4,23.9,94,86.6,74,10,3.1,0,29.7,29.7,29.6,0
